Room heating plant sens. load,Room hum. plant load,System air heating load,Aux vent heating load,DHW heating demand,DHW flow rate,Solar heating system input,Solar htg system tank temp,DHW solar htg system panel temp,DHW solar htg system flow rate,DHW solar heat input,Boiler load,Boiler space heating load,Boiler space cooling load,Boiler space cond'g load,Boiler DHW load,CH[C]P heat contribution,Room cooling plant sens. load,Room dehum. plant load,System air sens. clg. load,System air lat. clg. load,Aux vent sens. clg. load,Aux vent lat. clg. load,Chiller load,System air flow rate,System air heat recovery temp,System air supply temperature,System air supply moisture content,Aux vent flow rate,Boiler process load,Chiller process load,Process heat removal,Process heat available for recovery,Process heat recovered,Process heat recovery heat pump
5913.1514,0.0,0.0,0.0,0.0,,0.0,,,,,6578.3813,6578.3813,0.0,6578.3813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0033383295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5938.302,0.0,0.0,0.0,0.0,,0.0,,,,,6606.361,6606.361,0.0,6606.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1500001,1.1500001,0.0033030766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5959.5605,0.0,0.0,0.0,0.0,,0.0,,,,,6630.0107,6630.0107,0.0,6630.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000001,1.1000001,0.003324104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5985.582,0.0,0.0,0.0,0.0,,0.0,,,,,6658.96,6658.96,0.0,6658.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0033661611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6011.442,0.0,0.0,0.0,0.0,,0.0,,,,,6687.7295,6687.7295,0.0,6687.7295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000001,0.9000001,0.0034082257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6035.0854,0.0,0.0,0.0,0.0,,0.0,,,,,6714.033,6714.033,0.0,6714.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8500001,0.8500001,0.0034292587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6051.6606,0.0,0.0,0.0,0.0,,0.0,,,,,6732.472,6732.472,0.0,6732.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0034082246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6059.2314,0.0,0.0,0.0,0.0,,0.0,,,,,6740.894,6740.894,0.0,6740.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500001,0.9500001,0.0033871923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6052.69,0.0,0.0,0.0,0.0,,0.0,,,,,6733.618,6733.618,0.0,6733.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000001,1.1000001,0.0033590046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6070.46,0.0,0.0,0.0,0.0,,0.0,,,,,6753.3867,6753.3867,0.0,6753.3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,0.00335547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6109.7646,0.0,0.0,0.0,0.0,,0.0,,,,,6797.1133,6797.1133,0.0,6797.1133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45000005,0.45000005,0.0033432553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5699.358,0.0,0.0,0.0,0.0,,0.0,,,,,6340.536,6340.536,0.0,6340.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000002,0.35000002,0.003380769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4631.943,0.0,0.0,0.0,0.0,,0.0,,,,,5153.036,5153.036,0.0,5153.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0033737463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4032.04,0.0,0.0,0.0,0.0,,0.0,,,,,4485.6445,4485.6445,0.0,4485.6445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0033193424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3869.04,0.0,0.0,0.0,0.0,,0.0,,,,,4304.3066,4304.3066,0.0,4304.3066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9000001,1.9000001,0.0032330465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3918.8008,0.0,0.0,0.0,0.0,,0.0,,,,,4359.6655,4359.6655,0.0,4359.6655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0031084246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4016.4216,0.0,0.0,0.0,0.0,,0.0,,,,,4468.269,4468.269,0.0,4468.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1000004,3.1000004,0.0029050026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4008.8447,0.0,0.0,0.0,0.0,,0.0,,,,,4459.84,4459.84,0.0,4459.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0500002,3.0500002,0.0027147757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4434.759,0.0,0.0,0.0,0.0,,0.0,,,,,4933.6685,4933.6685,0.0,4933.6685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7000003,2.7000003,0.002649223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5495.1245,0.0,0.0,0.0,0.0,,0.0,,,,,6113.326,6113.326,0.0,6113.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8500003,1.8500003,0.0025168736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5771.006,0.0,0.0,0.0,0.0,,0.0,,,,,6420.244,6420.244,0.0,6420.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90000004,0.90000004,0.0025737917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
